NAME,total_housing_units,built_2020_plus,built_2010_2019,built_2000_2009,total_units_in_structure,units_10_19,units_20_49,units_50_plus,median_home_value,owner_occupied,renter_occupied,total_pop,median_hh_income,bachelors,masters,professional_degree,doctorate,GEOID,lat,lon,county_fips,county_name,pct_new_housing,pct_renter,pct_college,units_10_plus,tier_label,tier_color,state_avg_pct_new,tract_fips,mobility_score
Block Group 2; Census Tract 3.01; Cache County; Utah,365,0,32,73,365,0,0,6,346700.0,317,28,1275,74550.0,142,34,2,14,490050003012,41.8218418,-111.9791309,49005,Cache,0.0,0.08115942028985507,0.15058823529411763,6,Minimal new construction,#D9D9D9,0.02349461311125304,49005000301,
Block Group 1; Census Tract 3.02; Cache County; Utah,814,0,254,370,814,0,0,38,362000.0,445,369,2454,66450.0,255,98,80,22,490050003021,41.7102446,-111.8691848,49005,Cache,0.0,0.4533169533169533,0.18541157294213528,38,Minimal new construction,#D9D9D9,0.02349461311125304,49005000302,
Block Group 2; Census Tract 3.02; Cache County; Utah,256,24,27,84,256,0,0,0,283000.0,239,17,971,105778.0,148,28,0,5,490050003022,41.6905696,-111.8782132,49005,Cache,0.09375,0.06640625,0.18640576725025745,0,High growth,#0570B0,0.02349461311125304,49005000302,
Block Group 3; Census Tract 3.02; Cache County; Utah,825,13,197,38,825,0,0,0,323600.0,674,151,3075,98352.0,377,157,30,0,490050003023,41.7509988,-111.8992621,49005,Cache,0.01575757575757576,0.18303030303030304,0.18341463414634146,0,Some new construction,#A6BDDB,0.02349461311125304,49005000302,
Block Group 1; Census Tract 4.01; Cache County; Utah,363,12,43,36,363,0,0,0,425600.0,339,17,1124,117045.0,243,103,39,47,490050004011,41.766706,-111.8116339,49005,Cache,0.03305785123966942,0.047752808988764044,0.38434163701067614,0,Moderate growth,#3690C0,0.02349461311125304,49005000401,0.49592477
Block Group 2; Census Tract 4.01; Cache County; Utah,1049,13,665,151,1049,149,160,126,308800.0,266,685,2236,57969.0,271,128,22,44,490050004012,41.770822,-111.8271789,49005,Cache,0.012392755004766444,0.7202944269190326,0.20796064400715564,435,Some new construction,#A6BDDB,0.02349461311125304,49005000401,0.49592477
Block Group 3; Census Tract 4.01; Cache County; Utah,769,47,262,224,769,221,93,0,-1.0,31,738,2045,49112.0,122,28,0,38,490050004013,41.761197,-111.8265936,49005,Cache,0.0611183355006502,0.9596879063719116,0.09193154034229829,314,Moderate growth,#3690C0,0.02349461311125304,49005000401,0.49592477
Block Group 1; Census Tract 4.02; Cache County; Utah,994,112,298,287,994,0,0,0,714900.0,897,8,3240,147656.0,479,329,120,92,490050004021,41.7928981,-111.7866137,49005,Cache,0.11267605633802817,0.008839779005524863,0.3148148148148148,0,High growth,#0570B0,0.02349461311125304,49005000402,0.52586097
Block Group 2; Census Tract 4.02; Cache County; Utah,420,0,22,22,420,0,0,0,424500.0,375,45,1265,106750.0,288,163,25,62,490050004022,41.7655957,-111.7996641,49005,Cache,0.0,0.10714285714285714,0.425296442687747,0,Minimal new construction,#D9D9D9,0.02349461311125304,49005000402,0.52586097
Block Group 1; Census Tract 4.03; Cache County; Utah,604,0,120,219,604,0,0,0,475000.0,546,58,2134,110278.0,307,218,26,62,490050004031,41.7859982,-111.8135929,49005,Cache,0.0,0.09602649006622517,0.2872539831302718,0,Minimal new construction,#D9D9D9,0.02349461311125304,49005000403,0.53848928
Block Group 2; Census Tract 4.03; Cache County; Utah,480,45,61,51,480,0,0,34,365000.0,376,104,1393,100473.0,207,63,0,0,490050004032,41.7941147,-111.8555323,49005,Cache,0.09375,0.21666666666666667,0.19382627422828427,34,High growth,#0570B0,0.02349461311125304,49005000403,0.53848928
Block Group 3; Census Tract 4.03; Cache County; Utah,496,0,66,29,496,0,0,0,356700.0,383,87,1365,67067.0,171,177,0,16,490050004033,41.8046515,-111.8239487,49005,Cache,0.0,0.1851063829787234,0.26666666666666666,0,Minimal new construction,#D9D9D9,0.02349461311125304,49005000403,0.53848928
Block Group 4; Census Tract 4.03; Cache County; Utah,427,18,65,92,427,0,0,0,488700.0,389,28,1473,115114.0,288,183,18,55,490050004034,41.8023687,-111.8093093,49005,Cache,0.04215456674473068,0.0671462829736211,0.3693143245078072,0,Moderate growth,#3690C0,0.02349461311125304,49005000403,0.53848928
Block Group 1; Census Tract 5.01; Cache County; Utah,368,0,0,0,368,0,0,0,358900.0,85,241,1030,40036.0,70,29,0,0,490050005011,41.7458247,-111.8385752,49005,Cache,0.0,0.7392638036809815,0.09611650485436893,0,Minimal new construction,#D9D9D9,0.02349461311125304,49005000501,0.45102167
Block Group 2; Census Tract 5.01; Cache County; Utah,540,0,0,0,540,63,48,0,313500.0,180,360,1203,59348.0,333,104,12,0,490050005012,41.7387683,-111.8384226,49005,Cache,0.0,0.6666666666666666,0.37323358270989193,111,Minimal new construction,#D9D9D9,0.02349461311125304,49005000501,0.45102167
Block Group 3; Census Tract 5.01; Cache County; Utah,812,28,0,0,812,28,0,132,312800.0,252,515,1696,49766.0,85,13,0,20,490050005013,41.739322,-111.85061,49005,Cache,0.034482758620689655,0.6714471968709257,0.0695754716981132,160,Moderate growth,#3690C0,0.02349461311125304,49005000501,0.45102167
Block Group 4; Census Tract 5.01; Cache County; Utah,456,0,27,119,456,0,0,85,327300.0,242,214,1213,50750.0,35,73,0,0,490050005014,41.7472341,-111.845105,49005,Cache,0.0,0.4692982456140351,0.08903544929925804,85,Minimal new construction,#D9D9D9,0.02349461311125304,49005000501,0.45102167
Block Group 1; Census Tract 5.02; Cache County; Utah,1822,43,558,647,1822,53,49,0,289000.0,488,1298,5015,54367.0,455,307,0,0,490050005021,41.7669737,-111.841288,49005,Cache,0.023600439077936335,0.7267637178051511,0.15194416749750747,102,Some new construction,#A6BDDB,0.02349461311125304,49005000502,0.46470043
Block Group 2; Census Tract 5.02; Cache County; Utah,866,0,47,239,866,0,0,0,274000.0,108,758,2420,56912.0,360,90,24,27,490050005022,41.7515582,-111.8498814,49005,Cache,0.0,0.8752886836027713,0.20702479338842975,0,Minimal new construction,#D9D9D9,0.02349461311125304,49005000502,0.46470043
Block Group 1; Census Tract 6.01; Cache County; Utah,231,0,43,0,231,38,14,0,-1.0,0,193,1096,60331.0,17,18,0,0,490050006011,41.7491762,-111.8163709,49005,Cache,0.0,1.0,0.03193430656934307,52,Minimal new construction,#D9D9D9,0.02349461311125304,49005000601,
Block Group 2; Census Tract 6.01; Cache County; Utah,164,0,17,13,164,31,17,0,-1.0,0,164,741,38643.0,21,0,0,0,490050006012,41.7473639,-111.8165466,49005,Cache,0.0,1.0,0.02834008097165992,48,Minimal new construction,#D9D9D9,0.02349461311125304,49005000601,
Block Group 3; Census Tract 6.01; Cache County; Utah,270,0,11,8,270,0,0,0,278200.0,120,116,627,105000.0,82,67,0,59,490050006013,41.7473918,-111.8293326,49005,Cache,0.0,0.4915254237288136,0.3317384370015949,0,Minimal new construction,#D9D9D9,0.02349461311125304,49005000601,
Block Group 4; Census Tract 6.01; Cache County; Utah,482,0,28,7,482,41,62,0,287500.0,112,286,1071,34494.0,119,50,50,0,490050006014,41.7467891,-111.8203027,49005,Cache,0.0,0.7185929648241206,0.20448179271708683,103,Minimal new construction,#D9D9D9,0.02349461311125304,49005000601,
Block Group 1; Census Tract 6.02; Cache County; Utah,174,11,5,68,174,0,11,0,-1.0,16,158,968,28879.0,46,21,0,0,490050006021,41.7553413,-111.8189983,49005,Cache,0.06321839080459771,0.9080459770114943,0.06921487603305786,11,Moderate growth,#3690C0,0.02349461311125304,49005000602,
Block Group 2; Census Tract 6.02; Cache County; Utah,691,0,69,30,691,67,87,13,370400.0,207,484,1830,52298.0,203,62,38,39,490050006022,41.753799,-111.8293061,49005,Cache,0.0,0.7004341534008683,0.18688524590163935,167,Minimal new construction,#D9D9D9,0.02349461311125304,49005000602,
Block Group 3; Census Tract 6.02; Cache County; Utah,313,0,70,0,313,0,58,0,267000.0,185,128,1168,79648.0,47,6,6,0,490050006023,41.7516275,-111.8191657,49005,Cache,0.0,0.40894568690095845,0.05051369863013699,58,Minimal new construction,#D9D9D9,0.02349461311125304,49005000602,
