geoid,lat,lon
490351124063,40.608297,-111.9077761
490351116011,40.6965756,-111.8983342
490351111092,40.6439122,-111.8480911
490351135402,40.6307536,-112.0293037
490351143033,40.5949239,-112.0366753
490351131092,40.5349451,-112.0068146
490351116012,40.6908418,-111.8928078
490351128262,40.4790008,-111.9557564
490351146021,40.5112671,-111.9271737
490351133121,40.7086978,-111.9498872
490351135093,40.6913547,-111.9257029
490351121023,40.6573755,-111.9057366
490351128261,40.4935697,-111.9688779
490351133111,40.7193462,-111.9303565
490351119053,40.6783514,-111.8742509
490351128214,40.4804798,-111.8486504
490351135132,40.6493595,-111.9447118
490351133132,40.6878724,-111.9428879
490351135094,40.6896415,-111.9364817
490351131122,40.5028749,-112.0343803
490351112024,40.6232848,-111.8510322
490351125042,40.6249948,-111.8637091
490351128291,40.5131745,-111.888409
490351112023,40.6147672,-111.8422041
490351125041,40.6258222,-111.8691119
490351111081,40.6374544,-111.844559
490351131131,40.5157664,-112.0014285
490351125051,40.6169037,-111.8648176
490351128213,40.4918896,-111.8373526
490351130233,40.5413728,-111.9922535
490351126162,40.571059,-111.8313997
490351128242,40.5537569,-111.9052127
490351131141,40.520159,-112.0311093
490351131112,40.505502,-112.0196235
490351131132,40.5122117,-112.0230085
490351131091,40.5280927,-111.9962018
490351130133,40.5300074,-111.9856782
490351131101,40.4957157,-112.0109769
490351128251,40.4897969,-111.9200028
490351128281,40.5077131,-111.8760058
490351128243,40.5350308,-111.9113538
490351134144,40.7000848,-112.0484977
490351130222,40.5633815,-111.9984174
490351131121,40.4958366,-112.0336665
490351131142,40.5303101,-112.0259098
490351143032,40.5906473,-112.0518091
490351143011,40.6224038,-111.9830883
490351125052,40.6205412,-111.8605867
490351125043,40.6278391,-111.8622241
490351143042,40.6021537,-112.0272645
490351131102,40.4916413,-112.0131714
490351143012,40.6269067,-111.9830997
490351130231,40.5409113,-112.0098199
490351130223,40.5525188,-111.9913896
490351128282,40.5194596,-111.8749019
490351019003,40.7617423,-111.8767778
490351128221,40.5518854,-111.8759857
490351111042,40.6459315,-111.86245
490351111041,40.635566,-111.860464
490351014022,40.7648818,-111.8405393
490351145001,40.7057096,-112.0056482
490351130123,40.5654388,-111.9193832
490351118014,40.6952866,-111.8682105
490351111071,40.6529969,-111.8523428
490351139033,40.7137975,-112.0726112
490351133142,40.6932348,-111.9503272
490351128241,40.5474638,-111.9099596
490351125053,40.6179489,-111.8693652
490351134143,40.7001604,-112.05806
490351116021,40.6838132,-111.9093736
490351124052,40.6200545,-111.9073999
490351124043,40.6169126,-111.8968529
490351135411,40.6352554,-112.0447564
490351135401,40.6275888,-112.0436133
490351152111,40.549898,-112.0457529
490351126212,40.5773013,-111.9119614
490351121013,40.6771826,-111.8948498
490351133122,40.7157003,-111.9453839
490351133123,40.7003256,-111.9458741
490351121014,40.6678224,-111.8976846
490351143043,40.6065811,-112.0157974
490351146012,40.5307677,-111.9242955
490351133141,40.6929884,-111.9436455
490351101051,40.5974222,-111.7937895
490351101062,40.5764012,-111.7909934
490351101052,40.6019486,-111.7866465
490351126163,40.5765126,-111.8303044
490351130121,40.5410317,-111.9229584
490351131111,40.5008125,-112.0147695
490351131093,40.5280959,-112.0036848
490351130232,40.5400205,-112.0031154
490351143031,40.6056966,-112.0436598
490351133133,40.6844545,-111.9416181
490351143014,40.6245675,-111.9850728
490490101291,40.409626,-111.8825456
490490101221,40.3581461,-112.00717
490490101292,40.4090728,-111.8916705
490490102222,40.4171535,-111.8639037
490490101271,40.3723923,-111.8767703
490490105063,39.9647734,-111.8015089
490490002053,40.4025673,-111.8255196
490490101272,40.3834971,-111.8767898
490490105054,39.9802444,-111.793791
490490101251,40.3813611,-111.9214236
490490101261,40.3734527,-111.8968931
490490101241,40.3898623,-111.9106382
490490103081,40.1229816,-111.6184323
490490101141,40.3175804,-111.9823528
490490020022,40.2373092,-111.6812283
490490020021,40.2418834,-111.6785183
490490014011,40.2902764,-111.6634023
490490020012,40.2424052,-111.6706705
490490024002,40.2310075,-111.6613059
490490105055,39.9895002,-111.7919597
490490101303,40.3768488,-111.8575969
490490103071,40.106131,-111.607691
490490008042,40.3005993,-111.700917
490490101181,40.3410627,-111.9133854
490490034052,40.0287113,-111.7276463
490490034053,40.02608,-111.7369181
490490104104,40.0189225,-111.7334721
490490011032,40.2804623,-111.7074788
490499803001,40.2091,-111.6519268
490499805001,40.2022326,-111.6318777
