tract_fips,mobility_score
49035113512,0.43408394
49035113513,0.44474876
49035113514,0.42631891
49035113515,0.49806896
49035113520,0.44385791
49035113521,0.43019986
49035113522,0.55740052
49035113523,0.45756099
49035113525,0.47198167
49035113526,0.46375892
49035113527,0.45530912
49035113528,0.45723036
49035113532,0.44982016
49035113533,0.51811945
49035113534,0.43317482
49035113535,0.4738971
49035113536,0.41404384
49035113537,0.45553088
49035113538,0.42067093
49035113539,0.45401996
49035113600,0.40611055
49035113701,0.44233012
49035113702,0.39534727
49035113801,0.4194023
49035113802,0.41187215
49035113803,0.43980888
49035113903,0.40887359
49035113904,0.40740728
49035113905,0.40993682
49035113906,0.41193798
49035113907,0.45300475
49035114000,0.44941044
49035114100,0.45190817
49035114200,0.47887409
49035114300,0.50063944
49035114500,0.45195559
49035114600,0.53313208
49035114700,0.39287356
49035114800,0.60583311
49035115106,0.49718791
49035115209,0.56581324
49035980000,
49037942000,0.38458803
49037942100,0.38900712
49037978100,0.49688092
49037978200,0.52834338
49039972100,0.48158774
49039972200,0.44097453
49039972300,0.51969743
49039972400,0.48455724
49039972500,0.46650222
49041975100,0.48474258
49041975200,0.51270622
49041975300,0.48608896
49041975400,0.4871808
49041975500,0.48990336
49043964101,0.55784166
49043964102,0.49875727
49043964201,0.56700557
49043964202,0.59347272
49043964203,
49043964303,0.51435965
49043964304,0.49783555
49043964305,0.69779748
49043964306,0.52908528
49043964307,0.59563023
49043964308,0.57879186
49043964401,0.60179955
49043964402,0.57641464
49045130600,0.39027074
49045130701,0.47476062
49045130702,0.52441561
49045130703,0.42887148
49045130800,0.47301468
49045130900,0.39856118
49045131001,0.41027746
49045131002,0.41353232
49045131100,0.444713
49045131200,0.41990191
49047940201,0.44362801
49047968200,0.54738623
49047968301,0.5894717
49047968302,0.58336723
49047968401,0.5083577
49047968402,0.51306081
49049000102,0.45395845
49049000103,0.52317744
49049000104,0.47527206
